id,state_name,year,YIELD,AWC,SOM,CEC,Latitude,Longitude,EVI_AVG,GCI_AVG,NDVI_AVG,NDWI_AVG,ppt (mm)_AVG,tmax (degrees C)_AVG,tmean (degrees C)_AVG,tmin (degrees C)_AVG,ssm_AVG,susm_AVG,HIST_AVG_YIELD
1005,ALABAMA,2016,188.9,0.12,0.84,13.63,31.86,-85.4,0.38,10.9,0.7,0.5,94.41,26.26,19.49,12.75,13.28,53.25,188.9
1005,ALABAMA,2017,192.3,0.12,0.84,13.63,31.86,-85.4,0.38,10.38,0.71,0.52,126.26,25.49,19.29,13.09,18.53,75.39,188.9
1005,ALABAMA,2019,184.1,0.12,0.84,13.63,31.86,-85.4,0.41,11.42,0.72,0.52,104.47,25.63,19.3,12.97,15.62,62.65,190.6
1005,ALABAMA,2020,151.7,0.12,0.84,13.63,31.86,-85.4,0.39,11.01,0.71,0.51,148.69,25.03,19.1,13.16,13.65,55.54,188.4
1005,ALABAMA,2021,188.8,0.12,0.84,13.63,31.86,-85.4,0.39,9.83,0.7,0.52,128.01,24.61,18.55,12.52,8.47,32.35,179.2
1005,ALABAMA,2022,159.8,0.12,0.84,13.63,31.86,-85.4,0.36,9.17,0.69,0.51,115.58,25.1,18.48,11.87,14.13,59.63,181.2
1019,ALABAMA,2016,92.3,0.14,0.92,14.76,34.11,-85.6,0.39,11.12,0.7,0.56,88.2,24.33,17.09,9.86,13.14,58.71,92.3
1019,ALABAMA,2017,146.8,0.14,0.92,14.76,34.11,-85.6,0.39,11.24,0.71,0.53,121.03,23.35,16.92,10.52,21.7,100.1,92.3
1019,ALABAMA,2019,129.4,0.14,0.92,14.76,34.11,-85.6,0.4,11.6,0.71,0.55,143.15,23.73,17.21,10.68,17.64,80.22,119.6
1019,ALABAMA,2020,122.4,0.14,0.92,14.76,34.11,-85.6,0.39,12.05,0.72,0.55,132.22,22.95,16.7,10.43,14.29,64.06,122.8
1019,ALABAMA,2021,173.3,0.14,0.92,14.76,34.11,-85.6,0.39,12.38,0.71,0.53,127.22,22.78,16.34,9.93,14.38,64.62,122.7
1019,ALABAMA,2022,138.5,0.14,0.92,14.76,34.11,-85.6,0.39,10.78,0.7,0.55,126.99,22.83,16.06,9.3,16.54,74.93,132.8
1029,ALABAMA,2016,125.0,0.14,0.92,13.45,33.65,-85.5,0.35,8.65,0.61,0.45,87.48,23.88,16.68,9.46,12.57,54.52,125.0
1029,ALABAMA,2017,111.1,0.14,0.92,13.45,33.65,-85.5,0.38,10.49,0.64,0.46,136.91,22.82,16.5,10.17,21.66,96.46,125.0
1031,ALABAMA,2016,104.5,0.12,0.93,3.25,31.36,-85.99,0.37,8.76,0.61,0.42,129.81,25.98,19.75,13.52,12.99,42.1,104.5
1031,ALABAMA,2017,120.2,0.12,0.93,3.25,31.36,-85.99,0.34,7.51,0.6,0.4,141.43,25.62,19.73,13.84,17.01,55.72,104.5
1031,ALABAMA,2022,125.4,0.12,0.93,3.25,31.36,-85.99,0.37,12.13,0.64,0.43,114.03,25.19,19.06,12.94,14.54,54.39,112.4
1033,ALABAMA,2016,126.2,0.14,0.62,14.36,34.65,-87.79,0.38,8.31,0.61,0.4,94.02,23.41,16.92,10.45,14.6,72.12,126.2
1033,ALABAMA,2017,195.3,0.14,0.62,14.36,34.65,-87.79,0.41,9.34,0.66,0.42,131.16,22.73,16.74,10.75,22.19,111.52,126.2
1033,ALABAMA,2018,153.6,0.14,0.62,14.36,34.65,-87.79,0.4,9.39,0.63,0.42,142.0,22.11,16.31,10.5,18.45,92.44,160.8
1033,ALABAMA,2019,162.0,0.14,0.62,14.36,34.65,-87.79,0.43,9.32,0.65,0.45,163.3,22.72,16.65,10.58,17.82,88.27,158.4
1033,ALABAMA,2020,175.1,0.14,0.62,14.36,34.65,-87.79,0.42,9.33,0.66,0.44,182.73,22.08,16.22,10.33,16.05,79.85,159.3
1033,ALABAMA,2021,174.3,0.14,0.62,14.36,34.65,-87.79,0.42,9.52,0.66,0.46,144.68,21.9,16.13,10.37,16.05,80.03,162.4
1033,ALABAMA,2022,94.0,0.14,0.62,14.36,34.65,-87.79,0.4,8.68,0.62,0.41,134.04,22.28,15.87,9.48,15.02,71.44,164.4
1035,ALABAMA,2016,116.7,0.14,0.72,19.89,31.4,-86.94,0.38,11.78,0.71,0.51,122.71,25.96,19.27,12.59,12.75,55.72,116.7
1035,ALABAMA,2017,120.7,0.14,0.72,19.89,31.4,-86.94,0.38,11.16,0.7,0.5,163.01,25.65,19.25,12.86,19.03,85.12,116.7
1035,ALABAMA,2018,150.0,0.14,0.72,19.89,31.4,-86.94,0.44,13.75,0.74,0.56,160.95,25.67,19.57,13.42,20.32,90.29,118.7
1035,ALABAMA,2019,109.0,0.14,0.72,19.89,31.4,-86.94,0.44,15.88,0.78,0.61,115.2,26.78,20.32,13.85,15.68,68.81,129.1
1035,ALABAMA,2020,109.9,0.14,0.72,19.89,31.4,-86.94,0.45,16.33,0.78,0.62,137.07,26.28,19.95,13.64,15.54,69.51,124.1
1039,ALABAMA,2016,108.1,0.12,1.48,11.56,31.2,-86.46,0.39,10.55,0.69,0.48,123.63,26.86,20.04,13.22,13.58,67.35,108.1
1039,ALABAMA,2017,141.7,0.12,1.48,11.56,31.2,-86.46,0.39,10.96,0.7,0.48,153.83,26.7,20.12,13.54,18.04,89.65,108.1
1039,ALABAMA,2019,96.3,0.12,1.48,11.56,31.2,-86.46,0.42,9.73,0.68,0.45,100.89,27.04,20.59,14.14,14.22,68.35,124.9
1039,ALABAMA,2020,113.2,0.12,1.48,11.56,31.2,-86.46,0.41,10.26,0.71,0.49,146.75,26.47,20.27,14.07,16.6,83.13,115.4
1039,ALABAMA,2021,109.1,0.12,1.48,11.56,31.2,-86.46,0.41,11.1,0.7,0.48,144.31,26.12,19.77,13.4,12.86,63.08,114.8
1043,ALABAMA,2016,117.2,0.13,1.08,11.98,34.13,-86.88,0.4,8.47,0.62,0.41,97.16,23.28,16.58,9.9,13.88,63.99,117.2
1043,ALABAMA,2017,175.9,0.13,1.08,11.98,34.13,-86.88,0.42,9.49,0.67,0.45,135.51,22.48,16.38,10.27,20.49,95.11,117.2
1043,ALABAMA,2018,181.6,0.13,1.08,11.98,34.13,-86.88,0.43,9.52,0.67,0.47,142.79,21.96,16.02,10.06,16.86,76.83,146.6
1043,ALABAMA,2019,175.4,0.13,1.08,11.98,34.13,-86.88,0.39,9.0,0.65,0.43,149.67,22.74,16.43,10.13,16.58,76.19,158.2
1043,ALABAMA,2020,174.7,0.13,1.08,11.98,34.13,-86.88,0.43,9.88,0.68,0.47,160.05,22.08,16.02,9.96,16.61,76.58,162.5
1043,ALABAMA,2021,178.9,0.13,1.08,11.98,34.13,-86.88,0.42,8.8,0.67,0.46,168.19,21.79,15.8,9.82,17.93,84.48,165.0
1043,ALABAMA,2022,134.4,0.13,1.08,11.98,34.13,-86.88,0.4,6.99,0.61,0.42,143.47,22.4,15.98,9.57,15.53,71.17,167.3
1045,ALABAMA,2016,145.0,0.12,0.85,5.14,31.39,-85.62,0.42,12.47,0.74,0.55,121.71,26.3,20.01,13.7,12.81,45.66,145.0
1045,ALABAMA,2017,144.0,0.12,0.85,5.14,31.39,-85.62,0.42,12.72,0.73,0.52,145.85,25.83,19.87,13.92,16.1,57.97,145.0
1045,ALABAMA,2019,107.5,0.12,0.85,5.14,31.39,-85.62,0.45,13.9,0.75,0.55,96.4,26.26,20.16,14.05,14.62,52.11,144.5
1045,ALABAMA,2020,113.0,0.12,0.85,5.14,31.39,-85.62,0.44,13.84,0.76,0.56,132.2,25.74,19.95,14.13,13.49,47.92,132.2
1045,ALABAMA,2021,121.5,0.12,0.85,5.14,31.39,-85.62,0.45,13.22,0.73,0.54,128.97,25.02,19.18,13.32,9.65,33.07,127.4
